,filename,smiles,electronic_energy (Hartree),HOMO_LUMO_gap (eV),dipole_moment (Debye),crystal_density (g/cc),crystal_density (g/cc),heat_of_formation (kcal/mol),Q(cal/g),D(km/s),p(GPa)
0,molecule_00002.xyz,[O-][N+](=O)C1=NNC=C1,-430.7007855,5.54300292,6.4662,1.647,1.647,23.28,765.1769912,5.686488931,13.57803034
1,molecule_00007.xyz,[O-][N+](=O)C1=CNC=N1,-430.7203544,5.282315792,7.4305,1.682,1.682,9.338,641.7964602,5.520759658,12.96938154
2,molecule_00008.xyz,[O-][N+](=O)C1=CNN=N1,-446.7184541,5.654298364,6.2427,1.726,1.726,47.819,513.9561404,5.93875206,15.25065645
3,molecule_00009.xyz,[O-][N+](=O)C1=CNN=C1,-430.7038142,5.589534756,4.7193,1.627,1.627,22.134,755.0353982,5.620640142,13.16216672
4,molecule_00010.xyz,[O-][N+](=O)C1=CN=NN1,-446.7170093,4.965028536,0.8707,1.673,1.673,51.646,547.5263158,5.90528565,14.78898288
5,molecule_00016.xyz,[O-][N+](=O)C1=NC=CN1,-430.7186213,4.709783728,5.5449,1.639,1.639,12.458,669.4070796,5.481330491,12.57684425
6,molecule_00018.xyz,[O-][N+](=O)C1=NNC=N1,-446.7411146,5.53347886,6.8402,1.745,1.745,33.061,384.5,5.565218052,13.48288903
7,molecule_00019.xyz,[O-][N+](=O)C1=NC=NN1,-446.7423732,5.271703268,2.7695,1.689,1.689,35.168,402.9824561,5.505504823,12.93142229
8,molecule_00023.xyz,[O-][N+](=O)C1=NNN=N1,-462.7384662,5.557697184,4.8581,1.793,1.793,72.232,266.0086957,5.616621133,13.96086589
9,molecule_00024.xyz,[O-][N+](=O)C1=NN=NN1,-462.7343595,5.194422324,3.3692,1.78,1.78,75.553,294.8869565,5.73397733,14.48677268
10,molecule_00027.xyz,CC1=CC(=NO1)[N+]([O-])=O,-489.8529811,5.143264516,5.6187,1.527,1.527,-5.597,491.984375,4.564809027,8.327799053
11,molecule_00028.xyz,CC1=NOC(=C1)[N+]([O-])=O,-489.8500014,5.214014676,4.7065,1.512,1.512,-2.948,512.6796875,4.581946373,8.33495282
12,molecule_00029.xyz,CC1=CN=C(O1)[N+]([O-])=O,-489.8855123,4.733185704,5.8766,1.533,1.533,-26.656,327.4609375,4.133881114,6.84763445
13,molecule_00030.xyz,CC1=C(ON=C1)[N+]([O-])=O,-489.8477542,5.044758524,4.5335,1.522,1.522,-0.925,528.484375,4.637096397,8.574758329
14,molecule_00031.xyz,CC1=COC(=N1)[N+]([O-])=O,-489.8828855,4.746247272,5.3949,1.535,1.535,-25.132,339.3671875,4.174579032,6.989211652
15,molecule_00032.xyz,CC1=CON=C1[N+]([O-])=O,-489.8473828,5.116597148,4.9678,1.54,1.54,-1.388,524.8671875,4.665508069,8.748682613
16,molecule_00033.xyz,CC1=NC(=CO1)[N+]([O-])=O,-489.8950578,5.168299188,5.298,1.54,1.54,-32.96,278.2109375,3.980889648,6.369495712
17,molecule_00034.xyz,CC1=NC=C(O1)[N+]([O-])=O,-489.8929351,4.927476528,3.9722,1.522,1.522,-30.857,294.640625,4.006925272,6.402537435
18,molecule_00035.xyz,CC1=NC(=NO1)[N+]([O-])=O,-505.8984894,5.466266208,5.3356,1.62,1.62,0.175,126.6124031,3.794199529,5.981252871
19,molecule_00036.xyz,CC1=C(OC=N1)[N+]([O-])=O,-489.8900357,5.023805592,3.1981,1.547,1.547,-29.063,308.65625,4.097980135,6.770093601
20,molecule_00037.xyz,CC1=C(N=NN1)[N+]([O-])=O,-486.045692,5.59334438,6.7295,1.613,1.613,35.396,1179.640625,6.268202319,16.27890122
21,molecule_00038.xyz,CC1=NN=C(O1)[N+]([O-])=O,-505.9041892,5.281227328,4.9103,1.612,1.612,-3.544,97.78294574,3.544951261,5.204579439
22,molecule_00039.xyz,CC1=NNC(=N1)[N+]([O-])=O,-486.0697357,4.944075604,3.0566,1.566,1.566,21.79,1073.34375,6.00117454,14.6364052
23,molecule_00040.xyz,CC1=C(NN=N1)[N+]([O-])=O,-486.0445056,4.974552596,0.1421,1.56,1.56,38.771,1206.007812,6.162710896,15.3959237
24,molecule_00041.xyz,CC1=C(ON=N1)[N+]([O-])=O,-505.8717983,4.981627612,2.7399,1.585,1.585,19.867,279.2635659,4.556124731,8.503342681
25,molecule_00042.xyz,CC1=NOC=C1[N+]([O-])=O,-489.8569094,5.566677012,1.2091,1.528,1.528,-6.779,482.75,4.545215182,8.260081982
26,molecule_00043.xyz,CC1=NOC(=N1)[N+]([O-])=O,-505.8927864,5.280138864,3.6209,1.589,1.589,5.542,168.2170543,4.020655018,6.632951394
27,molecule_00044.xyz,CC1=NON=C1[N+]([O-])=O,-505.8572716,5.433068056,2.9021,1.593,1.593,29.111,350.9224806,4.840253676,9.628555887
28,molecule_00045.xyz,CC1=C(N=CO1)[N+]([O-])=O,-489.8944471,5.190068468,5.0299,1.557,1.557,-32.07,285.1640625,4.035020519,6.5917561
29,molecule_00046.xyz,CC1=C(C=NO1)[N+]([O-])=O,-489.8601035,5.449395016,2.1801,1.519,1.519,-8.42,469.9296875,4.497045639,8.053941983
30,molecule_00047.xyz,CC1=C(N=NO1)[N+]([O-])=O,-505.8819638,5.677428224,3.9951,1.612,1.612,11.558,214.8527132,4.315982748,7.714797032
31,molecule_00048.xyz,CN1C=C(N=N1)[N+]([O-])=O,-486.0366584,5.63824352,6.9745,1.569,1.569,42.073,1231.804688,6.219344018,15.73976726
32,molecule_00049.xyz,CN1C=NC(=N1)[N+]([O-])=O,-486.0592789,5.519056712,7.4818,1.582,1.582,27.444,1117.515625,6.10352044,15.24127339
33,molecule_00050.xyz,CN1C=NN=C1[N+]([O-])=O,-486.0450271,4.875502372,6.211,1.586,1.586,37.472,1195.859375,6.218351113,15.84630151
34,molecule_00051.xyz,CN1N=CC(=N1)[N+]([O-])=O,-486.0437502,5.579466464,4.8344,1.54,1.54,39.496,1211.671875,6.116955742,15.03887841
35,molecule_00052.xyz,CN1N=CN=C1[N+]([O-])=O,-486.0577537,5.195238672,3.5321,1.55,1.55,31.755,1151.195312,6.065309448,14.84975866
36,molecule_00053.xyz,CN1N=NC=C1[N+]([O-])=O,-486.0339443,5.002308428,1.9647,1.538,1.538,47.241,1272.179688,6.186569483,15.36980623
37,molecule_00054.xyz,CN1N=NC(=N1)[N+]([O-])=O,-502.060214,5.554976024,5.8908,1.629,1.629,63.628,983.0465116,6.686869466,18.64420714
38,molecule_00055.xyz,CN1N=NN=C1[N+]([O-])=O,-502.0522031,5.20013676,4.4677,1.636,1.636,69.591,1029.271318,6.783870936,19.2418246
39,molecule_00056.xyz,NC1=CC(=CO1)[N+]([O-])=O,-489.8835018,3.868673172,5.6945,1.651,1.651,-31.68,288.2109375,4.209239585,7.451194218
40,molecule_00057.xyz,NC1=CC=C(O1)[N+]([O-])=O,-489.8860301,4.100516004,7.1723,1.693,1.693,-34.584,265.5234375,4.195403373,7.520415835
41,molecule_00058.xyz,NC1=NNC(=C1)[N+]([O-])=O,-486.0619849,3.701321832,3.7128,1.595,1.595,24.469,1094.273437,6.105104124,15.33083453
42,molecule_00059.xyz,NC1=CC(=NN1)[N+]([O-])=O,-486.0579613,4.54841894,7.6321,1.711,1.711,22.628,1079.890625,6.383498777,17.52553956
43,molecule_00060.xyz,NC1=CC(=NO1)[N+]([O-])=O,-505.8904924,4.220791276,6.8157,1.719,1.719,0.482,128.9922481,3.969854255,6.797630718
44,molecule_00061.xyz,NC1=C(OC=C1)[N+]([O-])=O,-489.8882571,4.353583884,6.3153,1.666,1.666,-33.965,270.359375,4.168163386,7.348474967
45,molecule_00062.xyz,NC1=NOC(=C1)[N+]([O-])=O,-505.8869666,4.199294112,5.5361,1.664,1.664,4.758,162.1395349,4.110536738,7.141264419
46,molecule_00063.xyz,NC1=CN=C(N1)[N+]([O-])=O,-486.0764481,4.017248508,7.5665,1.707,1.707,10.895,988.2265625,6.233428645,16.68694354
47,molecule_00065.xyz,NC1=CNC(=N1)[N+]([O-])=O,-486.0788955,3.627578396,6.0672,1.643,1.643,11.319,991.5390625,6.077403277,15.48501156
48,molecule_00066.xyz,NC1=CNN=C1[N+]([O-])=O,-486.0593072,4.039017788,6.6063,1.688,1.688,23.675,1088.070312,6.336244554,17.1220144
